model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Chung-Lu	1	0.0214286	0.0214286	0.0214286	0.0214286	0.0214286	0.0214286
Chung-Lu	2	0.0321429	0.0321429	0.0321429	0.0071429	0.0071429	0.0071429
Chung-Lu	3	0.0321429	0.0321429	0.0321429	0.0000000	0.0000000	0.0000000
Chung-Lu	4	0.0321429	0.0321429	0.0321429	0.0000000	0.0000000	0.0000000
Chung-Lu	5	0.0321429	0.0321429	0.0321429	0.0000000	0.0000000	0.0000000
Chung-Lu	6	0.0321429	0.0321429	0.0321429	0.0000000	0.0000000	0.0000000
Chung-Lu	7	0.0321429	0.0321429	0.0321429	0.0000000	0.0000000	0.0000000
Chung-Lu	8	0.0321429	0.0321429	0.0321429	0.0000000	0.0000000	0.0000000
Chung-Lu	9	0.0341429	0.0355659	0.0327198	0.0005000	0.0008558	0.0001442
Chung-Lu	10	0.0464286	0.0464286	0.0464286	0.0030714	0.0034272	0.0027157
Chung-Lu	11	0.0534286	0.0537157	0.0531415	0.0035000	0.0036435	0.0033565
Chung-Lu	12	0.0542143	0.0549448	0.0534838	0.0002857	0.0005639	0.0000076
Chung-Lu	13	0.0636429	0.0643733	0.0629124	0.0031429	0.0034760	0.0028097
Chung-Lu	14	0.0642857	0.0642857	0.0642857	0.0002143	0.0004578	-0.0000292
Chung-Lu	15	0.0642857	0.0642857	0.0642857	0.0000000	0.0000000	0.0000000
Chung-Lu	16	0.0651429	0.0659773	0.0643084	0.0002857	0.0005639	0.0000076
Chung-Lu	17	0.0642857	0.0642857	0.0642857	0.0002857	0.0005639	0.0000076
Chung-Lu	18	0.0694286	0.0720559	0.0668013	0.0017143	0.0025901	0.0008385
Chung-Lu	19	0.0964286	0.1002703	0.0925868	0.0107857	0.0120244	0.0095470
Chung-Lu	20	0.1035000	0.1049571	0.1020429	0.0036429	0.0048645	0.0024213
