model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BUGGE	1	0.0044596	0.0051103	0.0038088	0.0044596	0.0051103	0.0038088
BUGGE	2	0.0085412	0.0095644	0.0075179	0.0020408	0.0025754	0.0015062
BUGGE	3	0.0103553	0.0110060	0.0097045	0.0013605	0.0018787	0.0008424
BUGGE	4	0.0111111	0.0111111	0.0111111	0.0003779	0.0007033	0.0000526
BUGGE	5	0.0109599	0.0112639	0.0106560	0.0000756	0.0002276	-0.0000764
BUGGE	6	0.0111111	0.0111111	0.0111111	0.0000756	0.0002276	-0.0000764
BUGGE	7	0.0109599	0.0112639	0.0106560	0.0000756	0.0002276	-0.0000764
BUGGE	8	0.0111111	0.0111111	0.0111111	0.0000756	0.0002276	-0.0000764
BUGGE	9	0.0109599	0.0112639	0.0106560	0.0000756	0.0002276	-0.0000764
BUGGE	10	0.0111111	0.0111111	0.0111111	0.0000756	0.0002276	-0.0000764
BUGGE	11	0.0111111	0.0111111	0.0111111	0.0000000	0.0000000	0.0000000
BUGGE	12	0.0109599	0.0112639	0.0106560	0.0000756	0.0002276	-0.0000764
BUGGE	13	0.0111111	0.0111111	0.0111111	0.0000756	0.0002276	-0.0000764
BUGGE	14	0.0111111	0.0111111	0.0111111	0.0000000	0.0000000	0.0000000
BUGGE	15	0.0111111	0.0111111	0.0111111	0.0000000	0.0000000	0.0000000
BUGGE	16	0.0111111	0.0111111	0.0111111	0.0000000	0.0000000	0.0000000
BUGGE	17	0.0111111	0.0111111	0.0111111	0.0000000	0.0000000	0.0000000
BUGGE	18	0.0109599	0.0112639	0.0106560	0.0000756	0.0002276	-0.0000764
BUGGE	19	0.0111111	0.0111111	0.0111111	0.0000756	0.0002276	-0.0000764
BUGGE	20	0.0111111	0.0111111	0.0111111	0.0000000	0.0000000	0.0000000
