model	gen	abs_mean	abs95d	abs95u
BTER	1	0.0506383	0.0511357	0.0501678
BTER	2	0.0497010	0.0498530	0.0495572
BTER	3	0.0496788	0.0499068	0.0494633
BTER	4	0.0503853	0.0506094	0.0501734
BTER	5	0.0511208	0.0515501	0.0507148
BTER	6	0.0500469	0.0502723	0.0498337
BTER	7	0.0500822	0.0501205	0.0500460
BTER	8	0.0505529	0.0506225	0.0504872
BTER	9	0.0507462	0.0510172	0.0504900
BTER	10	0.0499849	0.0499466	0.0500211
BTER	11	0.0500391	0.0499758	0.0500990
BTER	12	0.0502748	0.0501166	0.0504244
BTER	13	0.0503301	0.0503685	0.0502938
BTER	14	0.0489182	0.0490199	0.0488220
BTER	15	0.0498569	0.0496327	0.0500690
BTER	16	0.0494383	0.0490865	0.0497710
BTER	17	0.0500506	0.0498939	0.0501987
BTER	18	0.0500390	0.0495814	0.0504718
BTER	19	0.0499590	0.0494832	0.0504089
BTER	20	0.0481566	0.0478075	0.0484868
