	model	gen	abs_mean	abs95d	abs95u
0	BTER	1	0.0485832	0.0505145	0.0468085
1	BTER	2	0.0495438	0.0500900	0.0490416
2	BTER	3	0.0484819	0.0506214	0.0465159
3	BTER	4	0.0485818	0.0497359	0.0475213
4	BTER	5	0.0489531	0.0498311	0.0481466
5	BTER	6	0.0489121	0.0501673	0.0477587
6	BTER	7	0.0497532	0.0492798	0.0501885
7	BTER	8	0.0500334	0.0498311	0.0502194
8	BTER	9	0.0509305	0.0495175	0.0522288
9	BTER	10	0.0484819	0.0506214	0.0465159
10	BTER	11	0.0510585	0.0490913	0.0528661
11	BTER	12	0.0492872	0.0501167	0.0485248
12	BTER	13	0.0492039	0.0498589	0.0486019
13	BTER	14	0.0490654	0.0496603	0.0485187
14	BTER	15	0.0516665	0.0499115	0.0532791
15	BTER	16	0.0522541	0.0502193	0.0541239
16	BTER	17	0.0493354	0.0502144	0.0485280
17	BTER	18	0.0516439	0.0492721	0.0538231
18	BTER	19	0.0511011	0.0505501	0.0516075
19	BTER	20	0.0531291	0.0508953	0.0551816
