model	gen	abs_mean	abs95d	abs95u
Chung-Lu	1	0.0561993	0.0562381	0.0561610
Chung-Lu	2	0.0556871	0.0557662	0.0556090
Chung-Lu	3	0.0546626	0.0547490	0.0545772
Chung-Lu	4	0.0536588	0.0537136	0.0536045
Chung-Lu	5	0.0531006	0.0530880	0.0531130
Chung-Lu	6	0.0522740	0.0523495	0.0521994
Chung-Lu	7	0.0517499	0.0517670	0.0517330
Chung-Lu	8	0.0512724	0.0513280	0.0512174
Chung-Lu	9	0.0505478	0.0505908	0.0505054
Chung-Lu	10	0.0497589	0.0497292	0.0497883
Chung-Lu	11	0.0493792	0.0493865	0.0493720
Chung-Lu	12	0.0487560	0.0487367	0.0487751
Chung-Lu	13	0.0482520	0.0482312	0.0482726
Chung-Lu	14	0.0478023	0.0478279	0.0477771
Chung-Lu	15	0.0472971	0.0472333	0.0473602
Chung-Lu	16	0.0469072	0.0468848	0.0469293
Chung-Lu	17	0.0464307	0.0463591	0.0465013
Chung-Lu	18	0.0457587	0.0455857	0.0459298
Chung-Lu	19	0.0455450	0.0455199	0.0455698
Chung-Lu	20	0.0449603	0.0449154	0.0450047
